InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567504,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-09-20 14:33:00,0.85,13356.0,United Kingdom
576339,84991,60 TEATIME FAIRY CAKE CASES,2,2011-11-14 15:27:00,1.25,14096.0,United Kingdom
575753,84509B,SET OF 4 FAIRY CAKE PLACEMATS,1,2011-11-11 10:41:00,3.75,17841.0,United Kingdom
546422,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,3,2011-03-13 11:38:00,2.95,15547.0,United Kingdom
562370,23311,VINTAGE CHRISTMAS STOCKING ,12,2011-08-04 14:20:00,2.55,12626.0,Germany
574746,23582,VINTAGE DOILY JUMBO BAG RED ,30,2011-11-07 08:30:00,2.08,16523.0,United Kingdom
564173,22492,MINI PAINT SET VINTAGE ,36,2011-08-23 14:23:00,0.65,12567.0,France
580653,21172,PARTY METAL SIGN ,12,2011-12-05 13:34:00,1.45,17706.0,United Kingdom
564092,22692,DOORMAT WELCOME TO OUR HOME,6,2011-08-23 10:24:00,7.95,13767.0,United Kingdom
574733,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-11-06 15:17:00,2.95,17082.0,United Kingdom
540856,22723,SET OF 6 HERB TINS SKETCHBOOK,4,2011-01-12 10:16:00,3.95,16655.0,United Kingdom
547882,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2011-03-28 07:53:00,0.85,14911.0,EIRE
574691,22227,HANGING HEART MIRROR DECORATION ,6,2011-11-06 13:17:00,0.65,14174.0,United Kingdom
568316,21733,RED HANGING HEART T-LIGHT HOLDER,2,2011-09-26 13:21:00,2.95,16407.0,United Kingdom
537818,21888,BINGO SET,8,2010-12-08 13:53:00,3.75,12766.0,Portugal
574032,21615,4 LAVENDER BOTANICAL DINNER CANDLES,12,2011-11-02 12:37:00,1.25,17754.0,United Kingdom
